gender,age,resident_type,cyber_awareness,password_strength,antivirus,socialmedia,occupation,internet_usage,cybercrime_victim,crime,found_solution,reported_crime,not_repoted_reason
F,10,CITY,YES,STRONG,YES,YES,STUDENT,LESS THAN 1 HOUR,NO,NO,NA,NA,NA
M,30,VILLAGE,NO,WEAK,NO,NO,STUDENT,2-3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,24,CITY,NO,STRONG,YES,YES,SELF EMPLOYED,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,31,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,NO,NO,NA,NA,NA
F,45,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,NO,NO,NA,NA,NA
F,51,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,60,CITY,YES,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,NO,YES,WAS AFRAID
F,8,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,WAS AFRAID
F,9,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,WAS AFRAID
F,7,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,WAS AFRAID
F,9,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,WAS AFRAID
F,10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,WAS AFRAID
F,8,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PHISHING,YES,YES,WAS AFRAID
F,9,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,NO,YES,WAS AFRAID
F,7,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,YES,YES,WAS AFRAID
F,9,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,YES,YES,WAS AFRAID
F,10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,YES,YES,WAS AFRAID
F,8,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,PHISHING,YES,YES,WAS AFRAID
F,9,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,PHISHING,YES,NO,DON’T KNOW HOW TO REPORT
F,7,CITY,NO,WEAK,YES,NO,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,WAS AFRAID
F,9,CITY,NO,WEAK,YES,NO,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,WAS AFRAID
F,10,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,8,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,WAS AFRAID
F,9,CITY,NO,WEAK,YES,YES,STUDENT,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,WAS AFRAID
F,7,CITY,NO,WEAK,YES,YES,STUDENT,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,WAS AFRAID
F,9,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,WAS AFRAID
F,10,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,8,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,9,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,7,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,9,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,10,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,8,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,9,CITY,NO,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,7,CITY,NO,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,9,CITY,NO,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,10,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,8,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,9,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,7,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,9,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,10,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,8,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,9,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,7,CITY,NO,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,9,CITY,NO,WEAK,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,10,CITY,NO,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,8,CITY,NO,STRONG,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,9,CITY,NO,STRONG,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,11,CITY,NO,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,12,CITY,NO,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,13,CITY,NO,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,14,CITY,NO,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,15,CITY,NO,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,16,CITY,NO,STRONG,YES,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,17,CITY,NO,WEAK,NO,YES,UN EMPLOYED,LESS THAN 1 HOUR,YES,PSYCO/PEVERT,NO,YES,DON’T KNOW HOW TO REPORT
F,18,CITY,NO,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,19,CITY,NO,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,20,CITY,NO,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,11,CITY,NO,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
M,12,CITY,NO,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
M,13,CITY,NO,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
M,14,CITY,NO,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
M,15,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,16,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,17,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,18,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,19,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,20,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,11,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,12,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,13,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
M,14,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,NO,NO,NA,NA,NA
F,15,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,16,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,17,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,18,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,19,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,20,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,YES,NO,DON’T KNOW HOW TO REPORT
F,11,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,YES,NO,WAS AFRAID
F,12,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,YES,NO,WAS AFRAID
F,13,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,NO,WAS AFRAID
F,14,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,NO,WAS AFRAID
F,15,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,NO,WAS AFRAID
F,16,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,NO,WAS AFRAID
F,17,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,18,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,19,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,NO,WAS AFRAID
F,20,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
F,11,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
F,12,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
F,13,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
F,14,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
F,15,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
F,16,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,WAS AFRAID
F,17,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,18,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,19,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,20,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,11,CITY,YES,WEAK,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,12,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,13,CITY,NO,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,14,CITY,NO,STRONG,YES,NO,UN EMPLOYED,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,15,CITY,NO,STRONG,YES,NO,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,16,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,17,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,18,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,19,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,20,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,11,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,12,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,13,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,14,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,15,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,16,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,17,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,18,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,19,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,20,CITY,NO,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,11,CITY,NO,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,12,CITY,NO,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,13,CITY,NO,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,14,CITY,NO,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,15,CITY,NO,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,16,CITY,NO,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,17,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,18,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,19,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,20,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,11,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,12,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,13,CITY,NO,WEAK,NO,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,14,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,15,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,16,CITY,NO,STRONG,YES,NO,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,17,CITY,NO,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,18,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,19,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,20,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,YES,DON’T KNOW HOW TO REPORT
F,18,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,19,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,20,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,11,CITY,NO,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,12,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,13,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,14,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,15,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,16,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,17,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,18,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,15,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,16,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,17,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,DON’T KNOW HOW TO REPORT
F,18,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,DON’T KNOW HOW TO REPORT
F,19,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,WAS AFRAID
F,20,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,WAS AFRAID
F,11,CITY,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,12,CITY,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,13,CITY,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,14,CITY,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,15,CITY,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,16,CITY,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
